区间,策略,累计收益,最大回撤
2022全年,SPY,-0.1817537619375833,-0.2449639386094108
2022全年,主规格,-0.1649045752819951,-0.19535826665097733
2022全年,变体,-0.08606554260192067,-0.20199727109997068
2020-02-19→2020-03-23(快熊),SPY,-0.334003368969804,-0.3371725618342726
2020-02-19→2020-03-23(快熊),主规格,-0.2076445863769657,-0.21141506659560116
2020-02-19→2020-03-23(快熊),变体,-0.29328177194358473,-0.2966447414560307
2023-2026牛市,SPY,1.085467800063824,-0.18755234489427264
2023-2026牛市,主规格,0.7980829623615386,-0.12658571332875568
2023-2026牛市,变体,0.9265445276243072,-0.20923441025579081
2018-12,SPY,-0.08804816306369823,-0.15607399071089578
2018-12,主规格,-0.08804816306369823,-0.15607399071089578
2018-12,变体,-0.08804816306369823,-0.15607399071089578
