mode,formation,thresh,topn,cumret,sharpe,exc_pp,exc_sh
main,6,5,,2.080061013975966,0.8869649641283007,-158.93783543450954,-0.023506330429158506
variant,6,5,2.0,3.4062986864584355,0.8760894951034992,-26.314068186262585,-0.03438179945396003
variant,6,5,3.0,3.1759100907419837,0.8765197817783029,-49.352927757907764,-0.03395151277915631
variant,6,5,4.0,3.3972011278167935,0.9154020296449961,-27.22382405042678,0.0049307350875368305
main,6,6,,2.5180647363740976,0.967119126660388,-115.13746319469638,0.056647832102928786
variant,6,6,2.0,3.932671482374558,0.9399399759143552,26.323211405349678,0.029468681356895954
variant,6,6,3.0,3.878127506250931,0.9662073426105467,20.868813792986973,0.05573604805308752
variant,6,6,4.0,4.175406101704709,1.0089543588759886,50.596673338364795,0.09848306431852938
main,6,7,,2.3504441218053027,0.9091774615854352,-131.89952465157586,-0.0012938329720240116
variant,6,7,2.0,4.000195386539408,0.9495483747486714,33.07560182183469,0.039077080191212143
variant,6,7,3.0,3.7813680150585824,0.9513179156649341,11.192864673752112,0.040846621107474834
variant,6,7,4.0,4.005564893912669,0.9849673652097483,33.61255255916076,0.07449607065228903
main,12,5,,1.9295167264781559,0.7286591878890618,-173.99226418429055,-0.18181210666839742
variant,12,5,2.0,2.933691608930268,0.841614080043525,-73.57477593907933,-0.06885721451393423
variant,12,5,3.0,2.962031425925926,0.8588921374749983,-70.74079423951352,-0.05157915708246097
variant,12,5,4.0,2.8430882282408456,0.8453788834320303,-82.63511400802157,-0.06509241112542896
main,12,6,,2.016601575566132,0.7443939678852155,-165.28377927549292,-0.16607732667224373
variant,12,6,2.0,2.998065741800759,0.8522748703257488,-67.13736265203023,-0.05819642423171045
variant,12,6,3.0,3.033484642408995,0.8701133625516178,-63.59547259120664,-0.04035793200584148
variant,12,6,4.0,2.9178905171050826,0.8564872631372367,-75.15488512159787,-0.05398403142022257
main,12,7,,2.2728623949147004,0.7822391786756394,-139.65769734063608,-0.12823211588181982
variant,12,7,2.0,2.9451422681486585,0.8461226905698854,-72.42971001724028,-0.0643486039875738
variant,12,7,3.0,2.9497489757180806,0.8560773912269338,-71.96903926029808,-0.054393903330525406
variant,12,7,4.0,2.8339750460050337,0.8414749144614394,-83.54643223160276,-0.06899638009601983
